Piezo_Open1,Piezo_Inactive1,Piezo_Inactive_held,Piezo_Closed1,Piezo_Open2,Piezo_Closed2,Substrate,Voltage,Current,10,20,30,40,50,60,P10,P20,P30,P40,P50,P60
0.00118144,0.00067292,1.23774e-06,0.998144,0.0135919,-5.54387e-313,0.145396,0.000199357,,-0.0204797,-0.0206444,-0.021225,-0.0203333,-0.0209438,-0.0211221,-0.00339559,-0.00339986,-0.00339778,-0.00340051,-0.00339926,-0.00339797
0.00123582,0.000765974,1.30147e-06,0.997997,0.0136005,-0,0.140307,0.000226277,,-0.0212166,-0.0211899,-0.0216601,-0.0210329,-0.0215754,-0.0219401,-0.00339974,-0.00339931,-0.00340024,-0.00339466,-0.00340103,-0.00340014
0.00128276,0.000863197,1.35921e-06,0.997853,0.013578,-0.00340393,0.133661,0.000208579,,-0.0218153,-0.0217238,-0.0221954,-0.0216998,-0.0222119,-0.0226386,-0.00340224,-0.0033954,-0.00340229,-0.00339455,-0.00339476,-0.00339451
0.00131877,0.000963982,1.41287e-06,0.997716,0.0135966,0.000190491,0.136539,0.000190614,,-0.0224321,-0.0221742,-0.0228084,-0.0222864,-0.0227955,-0.0231836,-0.00339428,-0.00339906,-0.00339501,-0.00339638,-0.00340274,-0.00339914
0.0013534,0.00106746,1.45364e-06,0.997578,0.0136049,-7.02647e-312,0.144016,0.000192568,,-0.0229293,-0.0229691,-0.0236763,-0.0227294,-0.023303,-0.0237052,-0.00339896,-0.00339733,-0.00340249,-0.00339678,-0.00339441,-0.00340122
0.00139215,0.0011735,1.49064e-06,0.997433,0.0135938,-0,0.133754,0.000194344,,-0.0232183,-0.0234735,-0.0244141,-0.0234068,-0.0235136,-0.0242837,-0.00339804,-0.00339616,-0.00341124,-0.00339544,-0.00339903,-0.00339846
0.00141834,0.00128243,1.53169e-06,0.997298,0.0135799,-0.00533017,0.153568,0.000210782,,-0.0235944,-0.0241456,-0.0249096,-0.0238036,-0.0240329,-0.0246731,-0.00339499,-0.00339785,-0.00339935,-0.00339786,-0.00339537,-0.00339497
0.00146194,0.00139324,1.56286e-06,0.997143,0.0135989,0.000214977,0.129659,0.000203412,,-0.0242935,-0.024483,-0.0251611,-0.0241285,-0.0245313,-0.025332,-0.003395,-0.0033994,-0.00340173,-0.0033951,-0.00339607,-0.00339973
0.00147937,0.0015073,1.60853e-06,0.997012,0.0135807,-1.20344e-311,0.127557,0.00021565,,-0.0248116,-0.025058,-0.0253822,-0.0243808,-0.0252422,-0.0255889,-0.0033967,-0.00340157,-0.00340246,-0.00339998,-0.0033951,-0.00339517
0.00149443,0.00162255,1.63021e-06,0.996881,0.0135986,-0,0.145385,0.000210004,,-0.0251972,-0.0252668,-0.025667,-0.0247879,-0.0259374,-0.0258194,-0.00339996,-0.00340233,-0.00339598,-0.00339514,-0.00340066,-0.00339965
0.00152409,0.00173878,1.64435e-06,0.996735,0.0135776,-0.00340651,0.145487,0.000200426,,-0.0253344,-0.0259168,-0.0261015,-0.0252399,-0.026337,-0.026259,-0.00339873,-0.00340596,-0.00339592,-0.00339696,-0.00339528,-0.00339441
0.00155092,0.00185713,1.67837e-06,0.99659,0.0135908,0.000215106,0.125505,0.000230628,,-0.0256374,-0.02632,-0.0263722,-0.02537,-0.0267341,-0.0266649,-0.00339528,-0.00339966,-0.00339562,-0.00339437,-0.00339927,-0.00339771
0.00155934,0.00197739,1.70898e-06,0.996462,0.0135987,-2.02253e-311,0.162651,0.000197808,,-0.0259315,-0.0267764,-0.0263746,-0.0258974,-0.0269187,-0.0267932,-0.0033978,-0.00339589,-0.0033976,-0.00339442,-0.00339563,-0.00339968
0.00159897,0.00209811,1.71786e-06,0.996301,0.0135933,0.000199221,0.106248,0.000216952,,-0.0260546,-0.0271556,-0.026618,-0.0259444,-0.0271249,-0.0273863,-0.00339462,-0.00339884,-0.0034004,-0.00339726,-0.00340165,-0.00339834
0.00158484,0.00222173,1.75997e-06,0.996192,0.013585,0.000193041,0.131295,0.000208002,,-0.0263444,-0.0272143,-0.0267465,-0.0264613,-0.0270685,-0.0271723,-0.00339498,-0.00340808,-0.0033977,-0.00340105,-0.00339969,-0.00339625
0.00159419,0.00234402,1.74567e-06,0.99606,0.0135888,0.000204404,0.13017,0.000226936,,-0.0267854,-0.0274062,-0.0268234,-0.0267182,-0.0270414,-0.0273135,-0.00340059,-0.0034013,-0.00340093,-0.00339488,-0.00339446,-0.00339719
0.00160296,0.00246679,1.75473e-06,0.995928,0.0135817,-2.24746e-311,0.139993,0.000201119,,-0.0270264,-0.0277168,-0.0267534,-0.0269429,-0.0271397,-0.0274433,-0.00339484,-0.00339617,-0.00339639,-0.00339667,-0.0033973,-0.00339542
0.00161835,0.00259002,1.76527e-06,0.99579,0.0135886,0.00021495,0.146144,0.000211366,,-0.027242,-0.0278364,-0.0274608,-0.0273113,-0.0274394,-0.0276759,-0.0034031,-0.00340321,-0.00340195,-0.00339505,-0.00339555,-0.00339715
