V,V2
-68.8454,-68.8369
-68.8447,-68.8361
-68.844,-68.8354
-68.8434,-68.8348
-68.8428,-68.8341
-68.8422,-68.8335
-68.8416,-68.8329
-68.841,-68.8324
-68.8405,-68.8318
-68.84,-68.8313
-68.8395,-68.8308
-68.8391,-68.8304
-68.8387,-68.8299
-68.8383,-68.8295
-68.8379,-68.8291
-68.8375,-68.8288
-68.8372,-68.8284
-68.8369,-68.8281
-68.8367,-68.8279
-68.8364,-68.8276
-68.8362,-68.8274
-68.836,-68.8272
-68.8359,-68.827
-68.8358,-68.8269
-68.8357,-68.8268
-68.8356,-68.8267
-68.8355,-68.8266
-68.8355,-68.8266
-68.8355,-68.8266
-68.8356,-68.8266
-68.8356,-68.8267
-68.8357,-68.8267
-68.8358,-68.8269
-68.836,-68.827
-68.8362,-68.8272
-68.8364,-68.8274
-68.8366,-68.8276
-68.8369,-68.8278
-68.8372,-68.8281
-68.8375,-68.8284
-68.8379,-68.8288
-68.8383,-68.8292
-68.8387,-68.8296
-68.8391,-68.83
-68.8396,-68.8305
-68.8401,-68.8309
-68.8406,-68.8315
-68.8412,-68.832
-68.8418,-68.8326
-68.8424,-68.8332
-68.8431,-68.8339
-68.8438,-68.8345
-68.8445,-68.8352
-68.8452,-68.836
-68.846,-68.8368
-68.8468,-68.8376
-68.8476,-68.8384
-68.8485,-68.8393
-68.8494,-68.8401
-68.8504,-68.8411
-68.8513,-68.842
-68.8523,-68.843
-68.8534,-68.844
-68.8544,-68.8451
-68.8555,-68.8462
-68.8567,-68.8473
-68.8578,-68.8485
-68.859,-68.8496
-68.8602,-68.8509
-68.8615,-68.8521
-68.8628,-68.8534
-68.8641,-68.8547
-68.8655,-68.8561
-68.8669,-68.8575
-68.8683,-68.8589
-68.8698,-68.8603
-68.8712,-68.8618
-68.8728,-68.8633
-68.8743,-68.8649
-68.8759,-68.8665
-68.8776,-68.8681
-68.8792,-68.8697
-68.8809,-68.8714
-68.8826,-68.8732
-68.8844,-68.8749
-68.8862,-68.8767
-68.888,-68.8785
-68.8899,-68.8804
-68.8918,-68.8823
-68.8938,-68.8842
-68.8957,-68.8862
-68.8977,-68.8882
-68.8998,-68.8902
-68.9019,-68.8923
-68.904,-68.8944
-68.9061,-68.8966
-68.9083,-68.8987
-68.9105,-68.901
-68.9128,-68.9032
-68.9151,-68.9055
-68.9174,-68.9078
-68.9198,-68.9102
-68.9222,-68.9126
-68.9246,-68.915
-68.9271,-68.9175
-68.9296,-68.92
-68.9322,-68.9225
-68.9348,-68.9251
-68.9374,-68.9277
-68.94,-68.9304
-68.9427,-68.9331
-68.9455,-68.9358
-68.9482,-68.9386
-68.951,-68.9414
-68.9539,-68.9442
-68.9568,-68.9471
-68.9597,-68.95
-68.9627,-68.953
-68.9656,-68.956
-68.9687,-68.959
-68.9718,-68.9621
